group,team,ranking_name,fifa_code,fifa_rank,fifa_points,prev_rank,host,confederation,latest_result,latest_result_date,latest_result_type,ranking_update_date,is_host_int,rank_change
A,Mexico,Mexico,MEX,15,1681.03,16,True,CONCACAF,Mexico 1-1 Belgium,2026-04-01,Friendly International,2026-04-01,1,1
A,South Africa,South Africa,RSA,59,1429.73,60,False,CAF,South Africa 1-2 Panama,2026-04-01,Friendly International,2026-04-01,0,1
A,South Korea,Korea Republic,KOR,25,1588.67,22,False,AFC,Austria 1-0 South Korea,2026-04-01,Friendly International,2026-04-01,0,-3
A,Czech Republic,Czechia,CZE,38,1513.74,43,False,UEFA,Czech Republic 3-2 Denmark,2026-04-01,World Cup - Qualification - Promotion,2026-04-01,0,5
B,Canada,Canada,CAN,30,1556.48,29,True,CONCACAF,Canada 0-0 Tunisia,2026-04-01,Friendly International,2026-04-01,1,-1
B,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,63,1398.23,71,False,UEFA,Bosnia and Herzegovina 2-1 Italy,2026-04-01,World Cup - Qualification - Promotion,2026-04-01,0,8
B,Qatar,Qatar,QAT,55,1454.96,56,False,AFC,,,,2026-04-01,0,1
B,Switzerland,Switzerland,SUI,19,1649.4,18,False,UEFA,,,,2026-04-01,0,-1
C,Brazil,Brazil,BRA,6,1761.16,5,False,CONMEBOL,Brazil 3-1 Croatia,2026-04-01,Friendly International,2026-04-01,0,-1
C,Morocco,Morocco,MAR,8,1756.8,8,False,CAF,Morocco 2-1 Paraguay,2026-04-01,Friendly International,2026-04-01,0,0
C,Haiti,Haiti,HAI,83,1291.71,83,False,CONCACAF,Haiti 1-1 Iceland,2026-04-01,Friendly International,2026-04-01,0,0
C,Scotland,Scotland,SCO,43,1498.35,38,False,UEFA,Scotland 0-1 Ivory Coast,2026-04-01,Friendly International,2026-04-01,0,-5
D,United States,USA,USA,16,1673.13,15,True,CONCACAF,USA 0-2 Portugal,2026-04-01,Friendly International,2026-04-01,1,-1
D,Paraguay,Paraguay,PAR,41,1503.51,40,False,CONMEBOL,Morocco 2-1 Paraguay,2026-04-01,Friendly International,2026-04-01,0,-1
D,Australia,Australia,AUS,27,1580.68,27,False,AFC,Australia 5-1 Curacao,2026-03-31,FIFA Series - Group Stage,2026-04-01,0,0
D,Turkey,Türkiye,TUR,22,1599.03,25,False,UEFA,Kosovo 0-1 Turkey,2026-04-01,World Cup - Qualification - Promotion,2026-04-01,0,3
