group,home_team,away_team,neutral
A,Mexico,South Africa,0
A,South Korea,Czech Republic,1
A,Mexico,South Korea,0
A,Czech Republic,South Africa,1
A,Mexico,Czech Republic,0
A,South Africa,South Korea,1
B,Canada,Switzerland,0
B,Qatar,Bosnia and Herzegovina,1
B,Canada,Qatar,0
B,Bosnia and Herzegovina,Switzerland,1
B,Canada,Bosnia and Herzegovina,0
B,Switzerland,Qatar,1
C,Brazil,Morocco,1
C,Haiti,Scotland,1
C,Brazil,Haiti,1
C,Scotland,Morocco,1
C,Scotland,Brazil,1
C,Morocco,Haiti,1
D,United States,Paraguay,0
D,Australia,Turkey,1
D,United States,Australia,0
D,Turkey,Paraguay,1
D,United States,Turkey,0
D,Paraguay,Australia,1
E,Germany,Curaçao,1
E,Ivory Coast,Ecuador,1
E,Germany,Ivory Coast,1
E,Ecuador,Curaçao,1
E,Ecuador,Germany,1
E,Curaçao,Ivory Coast,1
F,Netherlands,Japan,1
F,Tunisia,Sweden,1
F,Netherlands,Tunisia,1
F,Sweden,Japan,1
F,Sweden,Netherlands,1
F,Japan,Tunisia,1
G,Belgium,Egypt,1
G,Iran,New Zealand,1
G,Belgium,Iran,1
G,New Zealand,Egypt,1
G,New Zealand,Belgium,1
G,Egypt,Iran,1
H,Spain,Cape Verde,1
H,Saudi Arabia,Uruguay,1
H,Spain,Saudi Arabia,1
H,Uruguay,Cape Verde,1
H,Uruguay,Spain,1
H,Cape Verde,Saudi Arabia,1
I,France,Senegal,1
I,Norway,Iraq,1
I,France,Norway,1
I,Iraq,Senegal,1
I,Iraq,France,1
I,Senegal,Norway,1
J,Argentina,Algeria,1
J,Austria,Jordan,1
J,Argentina,Austria,1
J,Jordan,Algeria,1
J,Jordan,Argentina,1
J,Algeria,Austria,1
K,Portugal,DR Congo,1
K,Uzbekistan,Colombia,1
K,Portugal,Uzbekistan,1
K,Colombia,DR Congo,1
K,Colombia,Portugal,1
K,DR Congo,Uzbekistan,1
L,England,Croatia,1
L,Ghana,Panama,1
L,England,Ghana,1
L,Panama,Croatia,1
L,Panama,England,1
L,Croatia,Ghana,1
